0,公司代号61566,浙江省,数据开发工程师,flink,60,面议-面议
1,公司代号58848,吉林省,大数据算法工程师,出每天的投资计划,2,1.5万-3.5万
2,公司代号55803,陕西省,大数据实施工程师,flume统计学等专业本科及以上学历,65, -8千
3,公司代号9814,安徽省,大数据算法工程师,深度学习、AI、大数据分析熟悉java/Scala/Python开发,98,8千- 
4,公司代号40310,吉林省,ETL数据仓库工程师,Linux,72,面议-面议
5,公司代号26469,辽宁省,爬虫工程师,c++,42,2.5万-7千
6,公司代号42658,宁夏回族自治区,ETL数据仓库工程师,可操作spss，origin，surfer，matlab等数据分析软件者优先,5,3万-2万
7,公司代号95154,吉林省,Spark高级工程师,Hadoop数据科学,35,7千-2.5万
8,公司代号58888,山西省,大数据架构师,Kafks,19,9千-4千
9,公司代号33771,内蒙古自治区,数据运维工程师,熟悉Unix/Linux操作系统,50,7千-2.5万
10,公司代号89145,浙江省,数据分析师,Scala熟悉使用python进行数据处理分析相关工作,26,5千-nan
11,公司代号57707,青海省,大数据实施工程师,flink,40,9千-4千
12,公司代号97928,陕西省,ETL数据仓库工程师,Arcgispython空间科学数据处理数据库商业,49,3.5万-1.5万
13,公司代号95393,澳门特别行政区,数据分析师,Scala熟悉使用python进行数据处理分析相关工作,48,5千-nan
14,公司代号43706,香港特别行政区,大数据算法工程师,8000-12000元/月、本科以上：15000-20000元/月【岗位方向】,72,1万-3千
15,公司代号55834,湖南省,可视化工程师,年龄18-30岁,2,2.5万-7千
16,公司代号97659,贵州省,数据运维工程师,深度学习、AI、大数据分析熟悉java/Scala/Python开发,56,面议-面议
17,公司代号90374,湖北省,数据开发工程师,熟练使用SPSS、SAS等相关数据分析软件,100,2.5万-7千
18,公司代号75398,山东省,大数据算法工程师,Hbase数据科学,30,3千-1万
19,公司代号11862,陕西省,Spark高级工程师,大专及以上学历，计算机（网络),99,3万-2万
20,公司代号45224,新疆维吾尔自治区,可视化工程师,sqool数据科学,25,1万-3千
21,公司代号59659,北京市,大数据架构师,java工程师岗位（2）C++工程师岗位（3）大数据工程师岗位,18,2.5万-7千
22,公司代号8053,陕西省,数据开发工程师,pandas、spss统计学等专业本科及以上学历，hive，spark-sql,41,6千-6千
23,公司代号58905,湖北省,数据运维工程师,精通MATLAB、Python、R中至少一门编程语言,84,nan-5千
24,公司代号92165,内蒙古自治区,Spark高级工程师,Storm,29,3千-1万
25,公司代号10269,重庆市,数据分析师,ETL,73,8千- 
26,公司代号85357,贵州省,ETL数据仓库工程师,Linux,40,2万-3万
27,公司代号26813,吉林省,ETL数据仓库工程师,ETL,19,2万-3万
28,公司代号30643,河南省,数据开发工程师,ETL,65,9千-4千
29,公司代号51276,新疆维吾尔自治区,数据分析师,Scala熟悉使用python进行数据处理分析相关工作,74,9千-4千
30,公司代号42888,江西省,数据开发工程师,Spark数据分析BIHive工作职责,57,5千-nan
31,公司代号84442,安徽省,数据开发工程师,ScalaSpark数据分析BIHive工作职责,82,1万-3千
32,公司代号38247,青海省,数据开发工程师,熟悉Unix/Linux操作系统,18,面议-面议
33,公司代号7871,重庆市,数据分析师,ScalaSpark数据分析BIHive工作职责,38,3万-2万
34,公司代号93574,宁夏回族自治区,数据运维工程师,熟悉Mysql/DB2等常用数据库，熟练使用SQL,69, -8千
35,公司代号1989,澳门特别行政区,数据运维工程师,Hadoop熟悉使用python进行数据处理分析相关工作,24,1万-3千
36,公司代号88609,河北省,大数据架构师,熟练使用MySQL、Excel,20,2万-3万
37,公司代号39011,台湾省,爬虫工程师,数据仓库,13,3万-2万
38,公司代号94013,甘肃省,数据分析师,Hive,48,2万-3万
39,公司代号26332,广西壮族自治区,数据开发工程师,java,90,5千-nan
40,公司代号90521,陕西省,爬虫工程师,熟练使用SPSS、SAS等相关数据分析软件,91,面议-面议
41,公司代号707,辽宁省,ETL数据仓库工程师,熟练使用SPSS、SAS等相关数据分析软件,23,1万-3千
42,公司代号19717,澳门特别行政区,ETL数据仓库工程师,大专及以上学历，计算机（网络),76,nan-5千
43,公司代号24062,四川省,数据运维工程师,熟练使用MySQL、Excel,72,4千-9千
44,公司代号91133,贵州省,Spark高级工程师,熟悉Unix/Linux操作系统,27,nan-5千
45,公司代号44177,江苏省,数据分析师,ETL,24, -8千
46,公司代号41215,浙江省,数据分析师,Hbase,35,1.5万-3.5万
47,公司代号38234,浙江省,大数据实施工程师,其中隐含的变化和问,14,3千-1万
48,公司代号6779,澳门特别行政区,爬虫工程师,出每天的投资计划,27,面议-面议
49,公司代号55209,广东省,数据分析师,享受公司超高,91, -8千
50,公司代号10388,浙江省,ETL数据仓库工程师,c++,73,8千- 
51,公司代号85205,云南省,数据运维工程师,熟悉Hadoop/Spark/Storm/Hive或HANA等大数据技术,4,7千-2.5万
52,公司代号3776,山西省,Spark高级工程师,熟悉Linux环境、SQL和NoSQL数据库、Log分析,81,8千- 
53,公司代号67685,海南省,大数据实施工程师,Python,15,5千-nan
54,公司代号18212,湖南省,Spark高级工程师,计算机、数学、统计学等专业本科及以上学历,39,7千-2.5万
55,公司代号28079,辽宁省,大数据架构师,java工程师岗位（2）C++工程师岗位（3）大数据工程师岗位,67,8千- 
56,公司代号36807,浙江省,Spark高级工程师,计算机、数学、统计学等专业本科及以上学历,48,1万-3千
57,公司代号67223,宁夏回族自治区,可视化工程师,C语言、Java、.Net、PHP等,23, -8千
58,公司代号22635,吉林省,可视化工程师,Hive,70,1.5万-3.5万
59,公司代号13793,四川省,大数据算法工程师,熟练使用SPSS、SAS等相关数据分析软件,14,7千-2.5万
60,公司代号43073,西藏自治区,爬虫工程师,Arcgispython空间科学数据处理数据库商业,18,2.5万-7千
61,公司代号18011,内蒙古自治区,大数据实施工程师,SQL和NoSQL数据库、Log分析,80,2万-3万
62,公司代号53673,河南省,大数据实施工程师,五险一金（养老、医疗、事业、生育、工伤）、餐补、通讯补贴等,31,3.5万-1.5万
63,公司代号17218,北京市,Spark高级工程师,可操作spss，origin，surfer，matlab等数据分析软件者优先,66,9千-4千
64,公司代号28090,广西壮族自治区,大数据架构师,Spark熟悉使用python进行数据处理分析相关工作,87,5千-nan
65,公司代号82242,江西省,可视化工程师,pandas、spss统计学等专业本科及以上学历，hive，spark-sql,74,3千-1万
66,公司代号24791,山东省,ETL数据仓库工程师,Hbase,76,nan-5千
67,公司代号77011,四川省,数据分析师,配合产品经理进行产品版本规划与需求整理,27,9千-4千
68,公司代号37493,海南省,数据分析师,flink,48,2万-3万
69,公司代号71627,辽宁省,爬虫工程师,Hadoop数据科学,42,6千-6千
70,公司代号36503,江西省,数据分析师,熟练使用MySQL、Excel,100,7千-2.5万
71,公司代号92881,江苏省,数据开发工程师,计算机科学、数学、统计学等相关专业,93,6千-6千
72,公司代号62057,吉林省,大数据算法工程师,C语言、Java、.Net、PHP等,71,3千-1万
73,公司代号47810,天津市,ETL数据仓库工程师,熟练使用SPSS、SAS等相关数据分析软件,93,6千-6千
74,公司代号5077,贵州省,ETL数据仓库工程师,Linux,92,8千- 
75,公司代号61025,广东省,数据分析师,Scala熟悉使用python进行数据处理分析相关工作,34,8千- 
76,公司代号62389,广西壮族自治区,ETL数据仓库工程师,深度学习、AI、大数据分析熟悉java/Scala/Python开发,94,1万-3千
77,公司代号97899,内蒙古自治区,大数据架构师,享受公司超高,90,3万-2万
78,公司代号11711,新疆维吾尔自治区,大数据算法工程师,数据仓库,28,面议-面议
79,公司代号41279,海南省,大数据实施工程师,flume,80,7千-2.5万
80,公司代号73808,湖北省,ETL数据仓库工程师,深度学习、AI、大数据分析熟悉java/Scala/Python开发,36,4千-9千
81,公司代号33903,甘肃省,大数据算法工程师,熟悉Linux环境、SQL和NoSQL数据库、Log分析,34,1.5万-3.5万
82,公司代号58387,江苏省,大数据算法工程师,c++,60,7千-2.5万
83,公司代号86484,山东省,数据开发工程师,java工程师岗位（2）C++工程师岗位（3）大数据工程师岗位,41,1万-3千
84,公司代号33069,甘肃省,大数据架构师,java,67, -8千
85,公司代号16532,江西省,Spark高级工程师,五险一金（养老、医疗、事业、生育、工伤）、餐补、通讯补贴等,4,2万-3万
86,公司代号52369,安徽省,数据开发工程师,flink,79,1.5万-3.5万
87,公司代号30492,澳门特别行政区,大数据实施工程师,java统计学等专业本科及以上学历,89,1.5万-3.5万
88,公司代号60353,河南省,可视化工程师,Linux,28,9千-4千
89,公司代号42131,吉林省,数据分析师,熟悉Hadoop/Spark/Storm/Hive或HANA等大数据技术,32,1万-3千
90,公司代号1880,山西省,爬虫工程师,Hive,75,4千-9千
91,公司代号9983,河南省,数据分析师,Storm,58, -8千
92,公司代号66727,宁夏回族自治区,ETL数据仓库工程师,ETL,100,2.5万-7千
93,公司代号39891,江西省,可视化工程师,Java数据库本次招聘包括,25,面议-面议
94,公司代号66106,辽宁省,数据运维工程师,深度学习、AI、大数据分析熟悉java/Scala/Python开发,66, -8千
95,公司代号82247,上海市,大数据实施工程师,享受公司超高,12,8千- 
96,公司代号95610,贵州省,爬虫工程师,熟悉Unix/Linux操作系统,34,6千-6千
97,公司代号68024,四川省,大数据算法工程师,SQL和NoSQL数据库、Log分析,97,4千-9千
98,公司代号53078,上海市,ETL数据仓库工程师,五险一金（养老、医疗、事业、生育、工伤）、餐补、通讯补贴等,81,3万-2万
99,公司代号69333,辽宁省,ETL数据仓库工程师,配合产品经理进行产品版本规划与需求整理,35,9千-4千
100,公司代号1171,浙江省,爬虫工程师,Spark熟悉使用python进行数据处理分析相关工作,18,3.5万-1.5万
101,公司代号68757,西藏自治区,数据开发工程师,pandas、spss统计学等专业本科及以上学历，hive，spark-sql,80,1.5万-3.5万
102,公司代号61615,新疆维吾尔自治区,大数据算法工程师,Storm,60,6千-6千
103,公司代号89397,吉林省,数据开发工程师,Python,30,8千- 
104,公司代号29007,吉林省,大数据实施工程师,Hadoop数据科学,6,9千-4千
105,公司代号85031,吉林省,可视化工程师,java,24,3万-2万
106,公司代号59785,江苏省,大数据架构师,Hadoop熟悉使用python进行数据处理分析相关工作,66,面议-面议
107,公司代号66516,广东省,可视化工程师,Hbase数据科学,12,1万-3千
108,公司代号14635,安徽省,ETL数据仓库工程师,java工程师岗位（2）C++工程师岗位（3）大数据工程师岗位,5,8千- 
109,公司代号57842,湖南省,大数据架构师,熟练使用SPSS、SAS等相关数据分析软件,3, -8千
110,公司代号87524,陕西省,数据开发工程师,Hbase数据科学,17,nan-5千
111,公司代号22035,江苏省,数据分析师,数学,13, -8千
112,公司代号46006,云南省,爬虫工程师,Hive,49,面议-面议
